country,date,confirmed,recovered,deaths,first_date,population,density,median_age,urban_population,confirmed_change,deaths_change,recovered_change,days_since_first_case
Aruba,2020-03-14,2,0,0,,106766,593,41,0.44,0,0,0,
Benin,2020-03-23,5,0,0,,12123200,108,19,0.48,3,0,0,
Burundi,2020-04-05,3,0,0,,11890784,463,17,0.14,0,0,0,
Cabo Verde,2020-03-24,3,0,1,,555987,138,28,0.68,0,1,0,
Chad,2020-03-20,1,0,0,,16425864,13,17,0.23,0,0,0,
Chad,2020-03-24,3,0,0,,16425864,13,17,0.23,2,0,0,
Chad,2020-03-26,3,0,0,,16425864,13,17,0.23,0,0,0,
Cuba,2020-03-31,186,8,6,2020-03-28,11326616,106,42,0.78,16,2,4,3
Equatorial Guinea,2020-03-26,12,0,0,,1402985,50,22,0.73,3,0,0,
Gambia,2020-04-06,4,2,1,,2416668,239,18,0.59,0,0,0,
Jamaica,2020-03-31,36,2,1,,2961167,273,31,0.55,0,0,0,
Libya,2020-04-01,10,1,0,,6871292,4,29,0.78,0,0,0,
Libya,2020-04-04,18,1,1,,6871292,4,29,0.78,7,0,0,
Mali,2020-03-31,28,0,2,,20250833,17,16,0.44,3,0,0,
Puerto Rico,2020-03-21,3,0,0,,2860853,323,44,,0,0,0,
Somalia,2020-03-30,3,0,0,,15893222,25,17,0.47,0,0,0,
Suriname,2020-03-14,1,0,0,,586632,4,29,0.65,1,0,0,
Suriname,2020-03-16,1,0,0,,586632,4,29,0.65,0,0,0,
Trinidad and Tobago,2020-03-18,7,0,0,2020-04-04,1399488,273,36,0.52,2,0,0,-17
Bangladesh,2020-04-04,70,30,8,2020-04-06,164689383,1265,28,0.39,9,2,4,-2
Belize,2020-04-01,3,0,0,,397628,17,25,0.46,0,0,0,
Bolivia,2020-04-04,139,1,10,2020-03-31,11673021,11,26,0.69,7,1,0,4
Cayman Islands,2020-03-15,1,0,0,,65722,274,,0.97,0,0,0,
French Guiana,2020-03-09,5,0,0,,298682,4,25,0.87,0,0,0,
Gabon,2020-03-19,1,0,0,,2225734,9,23,0.87,0,0,0,
Gabon,2020-03-28,7,0,1,,2225734,9,23,0.87,0,0,0,
Guinea,2020-04-02,52,0,0,2020-04-04,13132795,53,18,0.39,22,0,0,-2
Guinea,2020-04-07,144,5,0,2020-04-04,13132795,53,18,0.39,16,0,0,3
Honduras,2020-03-30,139,3,7,2020-03-29,9904607,89,24,0.57,29,4,0,1
Malta,2020-04-01,188,2,0,2020-03-23,441543,1380,43,0.93,19,0,0,9
Mongolia,2020-03-24,10,0,0,,3278290,2,28,0.67,0,0,0,
Montenegro,2020-03-30,91,0,1,2020-03-31,628066,47,39,0.68,6,0,0,-1
Namibia,2020-03-28,8,2,0,,2540905,3,22,0.55,0,0,0,
Nicaragua,2020-03-22,2,0,0,,6624554,55,26,0.57,0,0,0,
Niger,2020-03-24,3,0,0,2020-04-03,24206644,19,15,0.17,0,0,0,-10
Antigua and Barbuda,2020-03-20,1,0,0,,97929,223,34,0.26,0,0,0,
Antigua and Barbuda,2020-04-04,15,0,0,,97929,223,34,0.26,0,0,0,
Burkina Faso,2020-04-05,345,90,17,2020-03-24,20903273,76,18,0.31,27,1,24,12
Chad,2020-04-01,7,0,0,,16425864,13,17,0.23,0,0,0,
Cyprus,2020-03-16,33,0,0,2020-03-23,1207359,131,37,0.67,7,0,0,-7
El Salvador,2020-04-05,62,2,3,,6486205,313,28,0.73,6,0,0,
Fiji,2020-04-03,7,0,0,,896445,49,28,0.59,0,0,0,
Kosovo,2020-03-30,94,1,1,2020-03-31,1831000,,,,0,0,0,-1
Kosovo,2020-04-06,145,23,1,2020-03-31,1831000,,,,0,0,0,6
Liberia,2020-03-18,2,0,0,,5057681,53,19,0.53,1,0,0,
Mali,2020-03-25,2,0,0,,20250833,17,16,0.44,2,0,0,
Puerto Rico,2020-03-19,3,0,0,,2860853,323,44,,0,0,0,
Rwanda,2020-03-14,1,0,0,2020-04-04,12952218,525,20,0.18,1,0,0,-21
Somalia,2020-03-18,1,0,0,,15893222,25,17,0.47,0,0,0,
Timor-Leste,2020-03-26,1,0,0,,1318445,89,21,0.33,0,0,0,
Uruguay,2020-03-19,79,0,0,2020-03-21,3473730,20,36,0.96,29,0,0,-2
Zambia,2020-03-24,3,0,0,,18383955,25,18,0.45,0,0,0,
Bangladesh,2020-03-26,44,11,5,2020-04-06,164689383,1265,28,0.39,5,0,4,-11
Bolivia,2020-03-30,97,0,4,2020-03-31,11673021,11,26,0.69,16,3,0,-1
Bolivia,2020-04-02,123,1,8,2020-03-31,11673021,11,26,0.69,8,1,0,2
Brunei,2020-03-17,56,0,0,2020-03-24,437479,83,32,0.8,2,0,0,-7
Bulgaria,2020-03-14,41,0,2,2020-03-20,6948445,64,45,0.76,18,1,0,-6
Bulgaria,2020-04-01,422,20,10,2020-03-20,6948445,64,45,0.76,23,2,3,12
Ethiopia,2020-03-22,11,0,0,,114963588,115,19,0.21,2,0,0,
Ethiopia,2020-04-04,38,4,0,,114963588,115,19,0.21,3,0,0,
Ghana,2020-03-29,152,2,5,2020-03-26,31072940,137,22,0.57,11,0,0,3
Holy See,2020-03-31,6,0,0,,801,2003,,,0,0,0,
Kazakhstan,2020-03-28,228,16,3,2020-03-26,18776707,7,31,0.58,78,0,13,2
Laos,2020-03-27,6,0,0,,7275560,32,24,0.36,0,0,0,
Malta,2020-04-03,202,2,0,2020-03-23,441543,1380,43,0.93,6,0,0,11
Mauritania,2020-03-15,1,0,0,,4649658,5,20,0.57,0,0,0,
Namibia,2020-03-16,2,0,0,,2540905,3,22,0.55,0,0,0,
Paraguay,2020-04-04,96,12,3,2020-04-05,7132538,18,26,0.62,4,0,6,-1
Sudan,2020-03-21,2,0,1,,43849260,25,20,0.35,0,0,0,
Tanzania,2020-03-16,1,0,0,,59734218,67,18,0.37,1,0,0,
Turkey,2020-03-28,7402,70,108,2020-03-19,84339067,110,32,0.76,1704,16,28,9
Turkey,2020-03-29,9217,105,131,2020-03-19,84339067,110,32,0.76,1815,23,35,10
Uganda,2020-04-01,44,0,0,,45741007,229,17,0.26,0,0,0,
Venezuela,2020-04-03,153,52,7,2020-03-26,28435940,32,30,,7,2,9,8
Antigua and Barbuda,2020-03-23,3,0,0,,97929,223,34,0.26,2,0,0,
Botswana,2020-04-02,4,0,1,,2351627,4,24,0.73,0,0,0,
Equatorial Guinea,2020-04-01,15,1,0,,1402985,50,22,0.73,3,0,0,
Guatemala,2020-03-15,1,0,0,,17915568,167,23,0.52,0,0,0,
Guatemala,2020-04-02,47,12,1,,17915568,167,23,0.52,8,0,0,
Jamaica,2020-03-13,8,0,0,,2961167,273,31,0.55,6,0,0,
Liberia,2020-04-03,7,0,0,,5057681,53,19,0.53,1,0,0,
Libya,2020-04-02,11,1,1,,6871292,4,29,0.78,1,1,0,
Madagascar,2020-04-05,72,2,0,,27691018,48,20,0.39,2,0,2,
Martinique,2020-03-07,2,0,0,,375265,354,47,0.92,2,0,0,
Martinique,2020-03-21,32,0,1,,375265,354,47,0.92,0,0,0,
Mauritius,2020-03-30,128,0,3,2020-03-28,1271768,626,37,0.41,21,0,0,2
Palestine,2020-03-15,25,0,0,,5101414,847,21,0.8,0,0,0,
Panama,2020-03-22,313,1,3,2020-03-19,4314767,58,30,0.68,113,2,1,3
Panama,2020-03-31,1181,9,30,2020-03-19,4314767,58,30,0.68,192,6,5,12
Syria,2020-03-24,1,0,0,,17500658,95,26,0.6,0,0,0,
Timor-Leste,2020-04-02,1,0,0,,1318445,89,21,0.33,0,0,0,
Trinidad and Tobago,2020-03-14,2,0,0,2020-04-04,1399488,273,36,0.52,2,0,0,-21
Uzbekistan,2020-03-18,15,0,0,2020-03-28,33469203,79,28,0.5,5,0,0,-10
Bolivia,2020-03-22,24,0,0,2020-03-31,11673021,11,26,0.69,5,0,0,-9
Central African Republic,2020-03-26,3,0,0,,4829767,8,18,0.43,0,0,0,
Djibouti,2020-03-18,1,0,0,,988000,43,27,0.79,1,0,0,
Dominica,2020-03-22,1,0,0,,71986,96,,0.74,1,0,0,
Dominica,2020-03-31,12,0,0,,71986,96,,0.74,1,0,0,
Eswatini,2020-03-30,9,0,0,,1160164,67,21,0.3,0,0,0,
Ethiopia,2020-03-19,6,0,0,,114963588,115,19,0.21,0,0,0,
Ethiopia,2020-03-23,11,0,0,,114963588,115,19,0.21,0,0,0,
Grenada,2020-04-05,12,0,0,,112523,331,32,0.35,0,0,0,
Haiti,2020-04-07,25,1,1,,11402528,414,24,0.57,1,0,0,
Holy See,2020-03-25,4,0,0,,801,2003,,,0,0,0,
Kenya,2020-03-26,31,1,1,2020-04-02,53771296,94,20,0.28,3,1,0,-7
Kenya,2020-04-07,172,7,6,2020-04-02,53771296,94,20,0.28,14,0,3,5
Malta,2020-03-28,149,2,0,2020-03-23,441543,1380,43,0.93,10,0,0,5
Nicaragua,2020-03-28,4,0,1,,6624554,55,26,0.57,2,0,0,
Papua New Guinea,2020-04-06,2,0,0,,8947024,20,22,0.13,1,0,0,
Paraguay,2020-03-10,1,0,0,2020-04-05,7132538,18,26,0.62,0,0,0,-26
Saint Lucia,2020-03-21,2,0,0,,183627,301,34,0.19,0,0,0,
Tanzania,2020-04-01,20,1,1,,59734218,67,18,0.37,1,0,0,
Albania,2020-03-10,10,0,0,2020-03-23,2877797,105,36,0.63,8,0,0,-13
Angola,2020-03-29,7,0,2,,32866272,26,17,0.67,2,2,0,
Angola,2020-04-06,16,2,2,,32866272,26,17,0.67,2,0,0,
Cabo Verde,2020-04-07,7,1,1,,555987,138,28,0.68,0,0,0,
Chad,2020-03-30,5,0,0,,16425864,13,17,0.23,2,0,0,
Cuba,2020-03-15,4,0,0,2020-03-28,11326616,106,42,0.78,0,0,0,-13
Cyprus,2020-03-27,162,15,5,2020-03-23,1207359,131,37,0.67,16,2,11,4
Cyprus,2020-04-03,396,28,11,2020-03-23,1207359,131,37,0.67,40,1,0,11
Eritrea,2020-03-23,1,0,0,,3546421,35,19,0.63,0,0,0,
Jamaica,2020-04-02,47,2,3,,2961167,273,31,0.55,3,0,0,
Palestine,2020-03-17,25,0,0,,5101414,847,21,0.8,0,0,0,
Seychelles,2020-03-19,6,0,0,,98347,214,34,0.56,2,0,0,
Suriname,2020-03-17,1,0,0,,586632,4,29,0.65,0,0,0,
Syria,2020-04-07,19,3,2,,17500658,95,26,0.6,0,0,1,
Timor-Leste,2020-04-01,1,0,0,,1318445,89,21,0.33,0,0,0,
Trinidad and Tobago,2020-03-19,9,0,0,2020-04-04,1399488,273,36,0.52,2,0,0,-16
Trinidad and Tobago,2020-04-05,104,1,7,2020-04-04,1399488,273,36,0.52,1,1,0,1
Uruguay,2020-04-06,406,104,6,2020-03-21,3473730,20,36,0.96,6,1,11,16
Zambia,2020-03-28,28,0,0,,18383955,25,18,0.45,6,0,0,
Bangladesh,2020-03-16,8,2,0,2020-04-06,164689383,1265,28,0.39,3,0,2,-21
Bulgaria,2020-03-29,346,14,8,2020-03-20,6948445,64,45,0.76,15,1,3,9
Djibouti,2020-04-07,90,9,0,,988000,43,27,0.79,0,0,0,
Grenada,2020-03-31,9,0,0,,112523,331,32,0.35,0,0,0,
Guam,2020-03-17,3,0,0,,168775,313,31,0.95,0,0,0,
Guinea,2020-03-13,1,0,0,2020-04-04,13132795,53,18,0.39,1,0,0,-22
Laos,2020-03-24,2,0,0,,7275560,32,24,0.36,2,0,0,
Maldives,2020-04-02,19,13,0,,540544,1802,30,0.35,0,0,0,
Mauritania,2020-03-18,1,0,0,,4649658,5,20,0.57,0,0,0,
Mauritania,2020-03-21,2,0,0,,4649658,5,20,0.57,0,0,0,
Mauritania,2020-04-06,6,2,1,,4649658,5,20,0.57,0,0,0,
Mongolia,2020-03-17,5,0,0,,3278290,2,28,0.67,4,0,0,
Mongolia,2020-04-04,14,2,0,,3278290,2,28,0.67,0,0,0,
Namibia,2020-04-06,16,3,0,,2540905,3,22,0.55,0,0,0,
Paraguay,2020-04-01,69,1,3,2020-04-05,7132538,18,26,0.62,4,0,0,-4
Sudan,2020-04-05,12,2,2,,43849260,25,20,0.35,2,0,0,
Turkey,2020-03-13,5,0,0,2020-03-19,84339067,110,32,0.76,4,0,0,-6
Zimbabwe,2020-04-04,9,0,1,,14862924,38,19,0.38,0,0,0,
Albania,2020-03-30,223,44,11,2020-03-23,2877797,105,36,0.63,11,1,11,7
Benin,2020-04-02,13,1,0,,12123200,108,19,0.48,0,0,0,
Cuba,2020-04-01,212,12,6,2020-03-28,11326616,106,42,0.78,26,0,4,4
Cuba,2020-04-04,288,15,6,2020-03-28,11326616,106,42,0.78,19,0,0,7
Cyprus,2020-03-25,132,3,3,2020-03-23,1207359,131,37,0.67,8,0,0,2
Cyprus,2020-04-05,446,37,11,2020-03-23,1207359,131,37,0.67,20,0,4,13
Equatorial Guinea,2020-03-30,12,0,0,,1402985,50,22,0.73,0,0,0,
Eritrea,2020-04-07,31,0,0,,3546421,35,19,0.63,0,0,0,
Guatemala,2020-04-07,77,17,3,,17915568,167,23,0.52,7,0,2,
Mali,2020-04-05,45,1,5,,20250833,17,16,0.44,4,2,0,
Moldova,2020-03-21,80,1,1,2020-03-23,4033963,123,38,0.43,14,0,0,-2
Moldova,2020-03-29,263,2,2,2020-03-23,4033963,123,38,0.43,32,0,0,6
Panama,2020-04-03,1475,10,37,2020-03-19,4314767,58,30,0.68,158,5,1,15
Rwanda,2020-04-04,102,0,0,2020-04-04,12952218,525,20,0.18,13,0,0,0
Rwanda,2020-04-06,105,4,0,2020-04-04,12952218,525,20,0.18,1,0,0,2
Somalia,2020-03-28,3,0,0,,15893222,25,17,0.47,0,0,0,
Zambia,2020-03-20,2,0,0,,18383955,25,18,0.45,0,0,0,
Zambia,2020-04-06,39,5,1,,18383955,25,18,0.45,0,0,2,
Bangladesh,2020-04-01,54,25,6,2020-04-06,164689383,1265,28,0.39,3,1,0,-5
Barbados,2020-03-26,18,0,0,,287375,668,40,0.31,0,0,0,
Bolivia,2020-03-13,3,0,0,2020-03-31,11673021,11,26,0.69,1,0,0,-18
Brunei,2020-03-23,91,2,0,2020-03-24,437479,83,32,0.8,3,0,0,-1
Brunei,2020-04-03,134,65,1,2020-03-24,437479,83,32,0.8,1,0,9,10
Eswatini,2020-04-07,10,4,0,,1160164,67,21,0.3,0,0,0,
Honduras,2020-03-24,30,0,0,2020-03-29,9904607,89,24,0.57,3,0,0,-5
Kazakhstan,2020-04-04,531,36,6,2020-03-26,18776707,7,31,0.58,67,0,7,9
Kazakhstan,2020-04-07,697,51,6,2020-03-26,18776707,7,31,0.58,35,0,5,12
Maldives,2020-03-14,10,0,0,,540544,1802,30,0.35,1,0,0,
Malta,2020-03-09,3,0,0,2020-03-23,441543,1380,43,0.93,0,0,0,-14
Malta,2020-03-14,18,1,0,2020-03-23,441543,1380,43,0.93,6,0,0,-9
Mongolia,2020-04-02,14,2,0,,3278290,2,28,0.67,0,0,0,
Saint Lucia,2020-03-19,2,0,0,,183627,301,34,0.19,0,0,0,
Sudan,2020-04-06,12,2,2,,43849260,25,20,0.35,0,0,0,
Uganda,2020-03-29,33,0,0,,45741007,229,17,0.26,3,0,0,
Venezuela,2020-04-02,146,43,5,2020-03-26,28435940,32,30,,3,2,2,7
Western Sahara,2020-04-06,4,0,0,,597339,2,28,0.87,0,0,0,
Zimbabwe,2020-03-23,3,0,1,,14862924,38,19,0.38,0,1,0,
Albania,2020-03-21,76,2,2,2020-03-23,2877797,105,36,0.63,6,0,2,-2
Albania,2020-04-02,277,76,16,2020-03-23,2877797,105,36,0.63,18,1,9,10
Antigua and Barbuda,2020-03-17,1,0,0,,97929,223,34,0.26,0,0,0,
Antigua and Barbuda,2020-03-26,7,0,0,,97929,223,34,0.26,4,0,0,
Antigua and Barbuda,2020-04-07,19,0,1,,97929,223,34,0.26,4,1,0,
Cabo Verde,2020-03-30,6,0,1,,555987,138,28,0.68,0,0,0,
Cyprus,2020-03-26,146,4,3,2020-03-23,1207359,131,37,0.67,14,0,1,3
El Salvador,2020-03-24,5,0,0,,6486205,313,28,0.73,2,0,0,
Fiji,2020-03-25,5,0,0,,896445,49,28,0.59,1,0,0,
Jamaica,2020-03-30,36,2,1,,2961167,273,31,0.55,4,0,0,
Kosovo,2020-04-01,125,10,1,2020-03-31,1831000,,,,13,0,4,1
Kosovo,2020-04-07,170,24,4,2020-03-31,1831000,,,,25,3,1,7
Seychelles,2020-04-06,11,0,0,,98347,214,34,0.56,1,0,0,
Uzbekistan,2020-03-24,50,0,0,2020-03-28,33469203,79,28,0.5,4,0,0,-4
Uzbekistan,2020-04-07,520,30,2,2020-03-28,33469203,79,28,0.5,63,0,0,10
Bangladesh,2020-03-12,3,0,0,2020-04-06,164689383,1265,28,0.39,0,0,0,-25
Barbados,2020-04-07,63,6,3,,287375,668,40,0.31,3,1,0,
Brunei,2020-03-14,40,0,0,2020-03-24,437479,83,32,0.8,3,0,0,-10
Brunei,2020-03-25,109,2,0,2020-03-24,437479,83,32,0.8,5,0,0,1
Cayman Islands,2020-03-14,1,0,0,,65722,274,,0.97,0,0,0,
Djibouti,2020-03-25,11,0,0,,988000,43,27,0.79,8,0,0,
Gabon,2020-03-18,1,0,0,,2225734,9,23,0.87,0,0,0,
Grenada,2020-03-26,7,0,0,,112523,331,32,0.35,6,0,0,
Guinea,2020-03-23,4,0,0,2020-04-04,13132795,53,18,0.39,2,0,0,-12
Guinea,2020-03-26,4,0,0,2020-04-04,13132795,53,18,0.39,0,0,0,-9
Honduras,2020-03-14,2,0,0,2020-03-29,9904607,89,24,0.57,0,0,0,-15
Honduras,2020-03-23,27,0,0,2020-03-29,9904607,89,24,0.57,1,0,0,-6
Kazakhstan,2020-03-19,44,0,0,2020-03-26,18776707,7,31,0.58,9,0,0,-7
Mongolia,2020-03-10,1,0,0,,3278290,2,28,0.67,1,0,0,
Mongolia,2020-03-20,6,0,0,,3278290,2,28,0.67,0,0,0,
Mongolia,2020-03-25,10,0,0,,3278290,2,28,0.67,0,0,0,
Mongolia,2020-03-26,11,0,0,,3278290,2,28,0.67,1,0,0,
Mongolia,2020-03-27,11,0,0,,3278290,2,28,0.67,0,0,0,
Mongolia,2020-04-06,15,2,0,,3278290,2,28,0.67,1,0,0,
Nicaragua,2020-03-21,2,0,0,,6624554,55,26,0.57,1,0,0,
Niger,2020-03-25,7,0,1,2020-04-03,24206644,19,15,0.17,4,1,0,-9
Niger,2020-03-29,18,0,1,2020-04-03,24206644,19,15,0.17,8,0,0,-5
Papua New Guinea,2020-03-25,1,0,0,,8947024,20,22,0.13,0,0,0,
Saint Lucia,2020-03-16,2,0,0,,183627,301,34,0.19,0,0,0,
Saint Lucia,2020-03-22,2,0,0,,183627,301,34,0.19,0,0,0,
Turkey,2020-04-06,30217,1326,649,2020-03-19,84339067,110,32,0.76,3148,75,284,18
Zimbabwe,2020-03-25,3,0,1,,14862924,38,19,0.38,0,0,0,
Zimbabwe,2020-04-07,11,0,2,,14862924,38,19,0.38,1,1,0,
Albania,2020-04-04,333,99,20,2020-03-23,2877797,105,36,0.63,29,3,10,12
Angola,2020-03-25,3,0,0,,32866272,26,17,0.67,0,0,0,
Antigua and Barbuda,2020-03-25,3,0,0,,97929,223,34,0.26,0,0,0,
Antigua and Barbuda,2020-03-28,7,0,0,,97929,223,34,0.26,0,0,0,
Bahamas,2020-03-22,4,0,0,,393244,39,32,0.86,0,0,0,
Cabo Verde,2020-03-29,6,0,1,,555987,138,28,0.68,1,0,0,
Cyprus,2020-03-21,84,0,0,2020-03-23,1207359,131,37,0.67,17,0,0,-2
Eritrea,2020-03-27,6,0,0,,3546421,35,19,0.63,0,0,0,
Fiji,2020-04-06,14,0,0,,896445,49,28,0.59,2,0,0,
Guinea-Bissau,2020-03-31,8,0,0,,1968001,70,19,0.45,0,0,0,
Guyana,2020-04-05,24,0,4,,786552,4,27,0.27,1,0,0,
Jamaica,2020-03-24,21,2,1,,2961167,273,31,0.55,2,0,0,
Liberia,2020-03-26,3,0,0,,5057681,53,19,0.53,0,0,0,
Libya,2020-03-28,3,0,0,,6871292,4,29,0.78,2,0,0,
Madagascar,2020-03-22,3,0,0,,27691018,48,20,0.39,0,0,0,
Madagascar,2020-03-28,26,0,0,,27691018,48,20,0.39,0,0,0,
Seychelles,2020-03-14,2,0,0,,98347,214,34,0.56,2,0,0,
Suriname,2020-03-30,8,0,0,,586632,4,29,0.65,0,0,0,
Suriname,2020-04-05,10,0,1,,586632,4,29,0.65,0,0,0,
Timor-Leste,2020-03-30,1,0,0,,1318445,89,21,0.33,0,0,0,
Bangladesh,2020-03-20,20,3,1,2020-04-06,164689383,1265,28,0.39,3,0,0,-17
Bangladesh,2020-04-07,164,33,17,2020-04-06,164689383,1265,28,0.39,41,5,0,1
Belize,2020-03-23,1,0,0,,397628,17,25,0.46,1,0,0,
Belize,2020-04-04,4,0,0,,397628,17,25,0.46,0,0,0,
Djibouti,2020-04-02,40,0,0,,988000,43,27,0.79,7,0,0,
Ethiopia,2020-03-29,21,1,0,,114963588,115,19,0.21,5,0,0,
Ghana,2020-03-30,152,2,5,2020-03-26,31072940,137,22,0.57,0,0,0,4
Ghana,2020-04-03,205,31,5,2020-03-26,31072940,137,22,0.57,1,0,0,8
Haiti,2020-04-01,16,1,0,,11402528,414,24,0.57,1,0,0,
Kazakhstan,2020-03-16,10,0,0,2020-03-26,18776707,7,31,0.58,1,0,0,-10
Kazakhstan,2020-03-31,343,24,3,2020-03-26,18776707,7,31,0.58,41,0,3,5
Maldives,2020-03-11,8,0,0,,540544,1802,30,0.35,2,0,0,
Maldives,2020-03-15,13,0,0,,540544,1802,30,0.35,3,0,0,
Malta,2020-03-10,5,0,0,2020-03-23,441543,1380,43,0.93,2,0,0,-13
Malta,2020-03-15,21,1,0,2020-03-23,441543,1380,43,0.93,3,0,0,-8
Mayotte,2020-03-20,6,0,0,,272815,728,20,0.46,3,0,0,
Paraguay,2020-03-14,6,0,0,2020-04-05,7132538,18,26,0.62,0,0,0,-22
Saint Lucia,2020-04-05,14,1,0,,183627,301,34,0.19,0,0,0,
Turkey,2020-03-31,13531,243,214,2020-03-19,84339067,110,32,0.76,2704,46,81,12
El Salvador,2020-04-04,56,2,3,,6486205,313,28,0.73,10,1,2,
Guatemala,2020-03-17,6,0,1,,17915568,167,23,0.52,4,0,0,
Guatemala,2020-03-19,9,0,1,,17915568,167,23,0.52,3,0,0,
Kosovo,2020-03-28,91,1,1,2020-03-31,1831000,,,,5,0,0,-3
Kyrgyzstan,2020-03-24,42,0,0,2020-03-31,6524195,34,26,0.36,26,0,0,-7
Mauritius,2020-03-25,48,0,2,2020-03-28,1271768,626,37,0.41,6,0,0,-3
Rwanda,2020-03-15,1,0,0,2020-04-04,12952218,525,20,0.18,0,0,0,-20
Somalia,2020-03-29,3,0,0,,15893222,25,17,0.47,0,0,0,
Suriname,2020-03-27,8,0,0,,586632,4,29,0.65,0,0,0,
Trinidad and Tobago,2020-03-15,2,0,0,2020-04-04,1399488,273,36,0.52,0,0,0,-20
Uzbekistan,2020-03-26,75,0,0,2020-03-28,33469203,79,28,0.5,15,0,0,-2
Belize,2020-03-29,2,0,0,,397628,17,25,0.46,0,0,0,
Brunei,2020-03-31,129,45,1,2020-03-24,437479,83,32,0.8,2,0,7,7
Ethiopia,2020-04-05,43,4,2,,114963588,115,19,0.21,5,2,0,
Holy See,2020-03-15,1,0,0,,801,2003,,,0,0,0,
Holy See,2020-03-22,1,0,0,,801,2003,,,0,0,0,
Kazakhstan,2020-04-05,584,42,6,2020-03-26,18776707,7,31,0.58,53,0,6,10
Kazakhstan,2020-04-06,662,46,6,2020-03-26,18776707,7,31,0.58,78,0,4,11
Maldives,2020-04-06,19,13,0,,540544,1802,30,0.35,0,0,0,
Mozambique,2020-03-29,8,0,0,,31255435,40,18,0.38,0,0,0,
Papua New Guinea,2020-03-31,1,0,0,,8947024,20,22,0.13,0,0,0,
Paraguay,2020-03-26,41,0,3,2020-04-05,7132538,18,26,0.62,4,0,0,-10
Paraguay,2020-03-30,64,1,3,2020-04-05,7132538,18,26,0.62,5,0,0,-6
Paraguay,2020-04-05,104,12,3,2020-04-05,7132538,18,26,0.62,8,0,0,0
Sudan,2020-03-17,1,0,1,,43849260,25,20,0.35,0,0,0,
Tanzania,2020-03-25,12,0,0,,59734218,67,18,0.37,0,0,0,
Turkey,2020-03-15,6,0,0,2020-03-19,84339067,110,32,0.76,1,0,0,-4
Turkey,2020-03-23,1529,0,37,2020-03-19,84339067,110,32,0.76,293,7,0,4
Venezuela,2020-03-23,77,15,0,2020-03-26,28435940,32,30,,7,0,0,-3
Bahamas,2020-03-28,10,1,0,,393244,39,32,0.86,0,0,0,
Benin,2020-03-30,6,0,0,,12123200,108,19,0.48,0,0,0,
Cabo Verde,2020-03-28,5,0,1,,555987,138,28,0.68,0,0,0,
Cuba,2020-03-16,4,0,0,2020-03-28,11326616,106,42,0.78,0,0,0,-12
El Salvador,2020-04-07,78,5,4,,6486205,313,28,0.73,9,0,0,
Fiji,2020-04-05,12,0,0,,896445,49,28,0.59,0,0,0,
Guadeloupe,2020-03-17,18,0,0,,400124,237,44,,12,0,0,
Guatemala,2020-04-03,50,12,1,,17915568,167,23,0.52,3,0,0,
Guyana,2020-03-27,20,0,1,,786552,4,27,0.27,0,0,0,
Jamaica,2020-03-18,13,2,0,,2961167,273,31,0.55,1,0,0,
Jamaica,2020-03-19,15,2,1,,2961167,273,31,0.55,2,1,0,
Malawi,2020-04-03,3,0,0,,19129952,203,18,0.18,0,0,0,
Mali,2020-03-30,25,0,2,,20250833,17,16,0.44,7,1,0,
Mauritius,2020-03-19,3,0,0,2020-03-28,1271768,626,37,0.41,0,0,0,-9
Palestine,2020-03-12,25,0,0,,5101414,847,21,0.8,0,0,0,
Panama,2020-03-26,558,2,8,2020-03-19,4314767,58,30,0.68,115,0,1,7
Rwanda,2020-03-29,70,0,0,2020-04-04,12952218,525,20,0.18,10,0,0,-6
Somalia,2020-03-16,1,0,0,,15893222,25,17,0.47,1,0,0,
Bangladesh,2020-03-14,3,0,0,2020-04-06,164689383,1265,28,0.39,0,0,0,-23
Bulgaria,2020-03-16,52,0,2,2020-03-20,6948445,64,45,0.76,1,0,0,-4
Central African Republic,2020-03-15,1,0,0,,4829767,8,18,0.43,1,0,0,
Central African Republic,2020-03-21,3,0,0,,4829767,8,18,0.43,0,0,0,
Guinea,2020-03-15,1,0,0,2020-04-04,13132795,53,18,0.39,0,0,0,-20
Guinea,2020-03-17,1,0,0,2020-04-04,13132795,53,18,0.39,0,0,0,-18
Haiti,2020-03-22,2,0,0,,11402528,414,24,0.57,0,0,0,
Honduras,2020-03-28,95,3,1,2020-03-29,9904607,89,24,0.57,27,0,3,-1
Honduras,2020-04-05,268,6,22,2020-03-29,9904607,89,24,0.57,4,7,3,7
Laos,2020-04-03,10,0,0,,7275560,32,24,0.36,0,0,0,
Maldives,2020-03-27,16,9,0,,540544,1802,30,0.35,3,0,1,
Maldives,2020-04-07,19,13,0,,540544,1802,30,0.35,0,0,0,
Mauritania,2020-04-05,6,2,1,,4649658,5,20,0.57,0,0,0,
Mongolia,2020-03-14,1,0,0,,3278290,2,28,0.67,0,0,0,
Montenegro,2020-03-26,69,0,1,2020-03-31,628066,47,39,0.68,17,0,0,-5
Montenegro,2020-04-04,201,1,2,2020-03-31,628066,47,39,0.68,27,0,0,4
Sudan,2020-03-13,1,0,1,,43849260,25,20,0.35,1,1,0,
Tanzania,2020-03-24,12,0,0,,59734218,67,18,0.37,0,0,0,
Uganda,2020-03-24,9,0,0,,45741007,229,17,0.26,0,0,0,
Zimbabwe,2020-03-21,3,0,0,,14862924,38,19,0.38,2,0,0,
